date,expt_type,exp,duration,genetic_background,construct,expr_type,xy,coord,sub_coord,start,end,birth,sen,dead,fluor_loss,escaped,censor,rls,div_time,growth_slope,desc,path,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,16,2,1,407,1,228,401,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cell observed for entirety of life,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0067-0447-0588,Rectangle,570,431,37,33,4,none,none,0,67,0,67,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,16,2,1,407,1,228,401,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cell observed for entirety of life,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0080-0447-0585,Rectangle,567,431,37,33,4,none,none,0,80,0,80,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,16,2,1,407,1,228,401,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cell observed for entirety of life,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0121-0447-0582,Rectangle,564,431,37,33,4,none,none,0,121,0,121,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,16,2,1,407,1,228,401,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cell observed for entirety of life,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0127-0447-0578,Rectangle,560,431,37,33,4,none,none,0,127,0,127,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,16,2,1,407,1,228,401,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cell observed for entirety of life,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0128-0447-0576,Rectangle,558,431,37,33,4,none,none,0,128,0,128,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,16,2,1,407,1,228,401,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cell observed for entirety of life,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0135-0447-0573,Rectangle,555,431,37,33,4,none,none,0,135,0,135,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,16,2,1,407,1,228,401,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cell observed for entirety of life,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0143-0447-0569,Rectangle,551,431,37,33,4,none,none,0,143,0,143,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,16,2,1,407,1,228,401,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cell observed for entirety of life,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0201-0447-0570,Rectangle,551,431,39,33,4,none,none,0,201,0,201,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,16,2,1,407,1,228,401,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cell observed for entirety of life,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0289-0447-0569,Rectangle,548,431,42,33,4,none,none,0,289,0,289,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,16,2,1,407,1,228,401,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cell observed for entirety of life,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0407-0447-0569,Rectangle,548,431,42,33,4,none,none,0,407,0,407,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,21,3,1,407,FALSE,131,186,FALSE,FALSE,l,FALSE,FALSE,FALSE,cell starts really young and is observed until death,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0001-0907-0605,Rectangle,588,891,35,32,4,none,none,0,1,0,1,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,21,3,1,407,FALSE,131,186,FALSE,FALSE,l,FALSE,FALSE,FALSE,cell starts really young and is observed until death,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0046-0907-0586,Rectangle,569,891,35,32,4,none,none,0,46,0,46,0
